audio_path,wav_path,csv_path,qmax_ml_s,duration_s_audio,max_freq_at_max_energy,avg_freq_above_80pct_energy,max_audio_energy,mean_audio_energy,std_audio_energy,max_log_audio_energy,mean_log_audio_energy,std_log_audio_energy,energy_slope,log_energy_slope,time_of_max_energy_s,dominant_freq_at_peak_energy,mean_dominant_freq,std_dominant_freq,max_dominant_freq,mean_mel_power_emax_window_unlogged,flow_eq_from_mel_emax_window
C:\school\project\healthy_dataset\included\audio\Rec_data_61.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_61.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_61.csv,27.085856564848214,27.2853514739229,471.59616831646343,497.79595544515587,0.12998849153518677,0.023962613195180893,0.020198669284582138,-2.040309190750122,-4.157071113586426,0.9911154508590698,-0.0019529936107155735,-0.10567872331519042,6.640907029478458,495.263671875,590.8391186919954,688.1656394198974,7493.5546875,0.9457719326019287,37.510051900063246
C:\school\project\healthy_dataset\included\audio\Rec_data_62.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_62.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_62.csv,11.048419367747112,23.637369614512473,523.9957425738482,523.9957425738482,0.18258412182331085,0.042609620839357376,0.03245147690176964,-1.7005441188812256,-3.4452402591705322,0.7725675106048584,0.0002091303170984537,0.010765809706146911,8.568163265306122,624.462890625,383.55221720136836,485.8333068388281,6384.5947265625,2.0322091579437256,50.572670276136094
C:\school\project\healthy_dataset\included\audio\Rec_data_63.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_63.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_63.csv,19.122671290738552,25.685351473922903,523.9957425738482,523.9957425738482,0.11363408714532852,0.024154240265488625,0.02242007851600647,-2.174771785736084,-4.197528839111328,1.0093477964401245,-0.0001651675652002082,0.002278759250578601,11.702857142857143,936.6943359375,546.5429316888045,822.2788967349836,10292.87109375,0.9373942613601685,37.37989927997551
C:\school\project\healthy_dataset\included\audio\Rec_data_64.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_64.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_64.csv,14.457338490951953,22.293333333333333,523.9957425738482,510.89584900950206,0.14132094383239746,0.03293587267398834,0.030171222984790802,-1.9567216634750366,-3.811579704284668,0.8900880217552185,-7.954994315371946e-05,0.008098591713015099,9.357641723356009,495.263671875,514.6390592379959,857.9634185201661,8354.8828125,1.1983562707901,41.14401912451812
C:\school\project\healthy_dataset\included\audio\Rec_data_65.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_65.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_65.csv,9.7841803388022,21.44,52.39957425738483,275.09776485127037,0.12394939363002777,0.025654803961515427,0.02141137793660164,-2.0878818035125732,-3.9685311317443848,0.7672488689422607,-8.70347218172906e-05,-0.0010848749695241025,11.19201814058957,1894.921875,462.3209105252443,855.2932722037276,10271.337890625,0.9696348309516907,37.87697080043666
C:\school\project\healthy_dataset\included\audio\Rec_data_66.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_66.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_66.csv,8.458672357832036,23.36,785.9936138607725,785.9936138607725,0.12668578326702118,0.01827358640730381,0.01829206384718418,-2.0660452842712402,-4.340347766876221,0.7588325142860413,-6.497801104363951e-05,0.002648916275485084,10.379319727891156,796.728515625,369.2955070335867,665.579946633581,7181.3232421875,0.8984557390213013,36.765467371218755
C:\school\project\healthy_dataset\included\audio\Rec_data_67.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_67.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_67.csv,9.77342047930285,22.144036281179137,52.39957425738483,117.89904207911587,0.09547799080610275,0.021461065858602524,0.01748766005039215,-2.3488595485687256,-4.133554935455322,0.7551025152206421,-4.88113498031516e-05,-0.00656823997000346,12.794195011337868,699.8291015625,425.56945608241324,771.6460479165872,9851.4404296875,0.4678088426589966,28.491657009214606
C:\school\project\healthy_dataset\included\audio\Rec_data_68.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_68.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_68.csv,14.303765950824804,23.189342403628117,523.9957425738482,523.9957425738482,0.08609439432621002,0.01910616271197796,0.018606210127472878,-2.452310800552368,-4.411965370178223,0.9502459764480591,-4.906229769272704e-05,0.0063263572764875676,14.721451247165533,4080.5419921875,630.2187568565071,1091.1000747877915,9420.7763671875,0.17506369948387146,19.406996446484463
C:\school\project\healthy_dataset\included\audio\Rec_data_69.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_69.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_69.csv,9.07056155795653,20.906666666666666,733.5940396033876,746.6939331677338,0.09345369040966034,0.02278268337249756,0.01808060333132744,-2.3702890872955322,-4.083017349243164,0.7755683064460754,0.0001404551480136469,0.011063218462004257,10.913378684807256,753.662109375,456.8252257621102,750.9317782196795,10152.9052734375,0.6122469902038574,31.649645018535747
C:\school\project\healthy_dataset\included\audio\Rec_data_70.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_70.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_70.csv,10.084567160197423,23.829342403628118,288.1976584156166,288.1976584156166,0.07885273545980453,0.01668163761496544,0.015295079909265041,-2.540173053741455,-4.449495315551758,0.8174965381622314,5.3666371091653314e-05,0.014398145466637337,10.054240362811791,301.46484375,431.53845382063355,759.4704770326847,10195.9716796875,0.7822542786598206,34.82913954758993
C:\school\project\healthy_dataset\included\audio\Rec_data_71.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_71.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_71.csv,21.78222400071145,22.058684807256235,340.5972326730014,550.1955297025407,0.13639287650585175,0.029364094138145447,0.03176511079072952,-1.992215633392334,-4.078833103179932,1.0482720136642456,-0.000934470378441306,-0.022494976966877866,8.382403628117913,376.8310546875,515.8659742960751,742.223161146707,10303.6376953125,1.96311354637146,49.89385911995332
C:\school\project\healthy_dataset\included\audio\Rec_data_72.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_72.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_72.csv,24.253256858298922,24.533333333333335,340.5972326730014,510.89584900950206,0.11925733834505081,0.024102557450532913,0.023206649348139763,-2.126471519470215,-4.225481033325195,1.0537163019180298,-1.9789353779962726e-05,0.028720020670235193,10.00780045351474,1571.923828125,756.5283036476109,1273.9087284721602,10335.9375,0.7985555529594421,35.11089549575988
